family,C,class_weight,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss,max_depth,min_samples_leaf,max_iter,learning_rate
LogisticRegression,0.01,,0.572773,0.12198,0.086142,0.0958,0.0958,0.312874,,,,
LogisticRegression,0.01,balanced,0.572279,0.120892,0.24272,0.0958,0.0958,0.678215,,,,
LogisticRegression,0.1,,0.571712,0.121513,0.086235,0.0958,0.0958,0.313615,,,,
LogisticRegression,0.1,balanced,0.570836,0.120228,0.242799,0.0958,0.0958,0.678235,,,,
LogisticRegression,1.0,,0.571158,0.120788,0.086292,0.0958,0.0958,0.314159,,,,
LogisticRegression,1.0,balanced,0.570616,0.120007,0.242961,0.0958,0.0958,0.678548,,,,
LogisticRegression,10.0,,0.571399,0.120751,0.086301,0.0958,0.0958,0.314212,,,,
LogisticRegression,10.0,balanced,0.570615,0.119999,0.242983,0.0958,0.0958,0.678591,,,,
RandomForest,,,0.570876,0.114827,0.086178,0.0958,0.0958,0.312794,8.0,5.0,,
RandomForest,,balanced,0.569601,0.112911,0.207832,0.0958,0.0958,0.60552,8.0,5.0,,
RandomForest,,,0.572696,0.11457,0.086167,0.0958,0.0958,0.312758,8.0,20.0,,
RandomForest,,balanced,0.570924,0.112625,0.215257,0.0958,0.0958,0.621149,8.0,20.0,,
RandomForest,,,0.553962,0.110268,0.086726,0.0958,0.0958,0.316094,16.0,5.0,,
RandomForest,,balanced,0.55899,0.109696,0.149124,0.0958,0.0958,0.474725,16.0,5.0,,
RandomForest,,,0.562478,0.111255,0.086386,0.0958,0.0958,0.314044,16.0,20.0,,
RandomForest,,balanced,0.563395,0.110143,0.186796,0.0958,0.0958,0.560081,16.0,20.0,,
HistGradientBoosting,,,0.571704,0.114642,0.086311,0.0958,0.0958,0.313515,3.0,,100.0,0.05
HistGradientBoosting,,balanced,0.570593,0.115733,0.233386,0.0958,0.0958,0.658533,3.0,,100.0,0.05
HistGradientBoosting,,,0.559314,0.113135,0.086701,0.0958,0.0958,0.316165,3.0,,100.0,0.1
HistGradientBoosting,,balanced,0.562979,0.114925,0.226236,0.0958,0.0958,0.642718,3.0,,100.0,0.1
HistGradientBoosting,,,0.550548,0.110172,0.087346,0.0958,0.0958,0.320017,,,100.0,0.05
HistGradientBoosting,,balanced,0.555838,0.110289,0.197314,0.0958,0.0958,0.578446,,,100.0,0.05
HistGradientBoosting,,,0.538451,0.105608,0.088956,0.0958,0.0958,0.33138,,,100.0,0.1
HistGradientBoosting,,balanced,0.542254,0.107175,0.175229,0.0958,0.0958,0.527589,,,100.0,0.1
HistGradientBoosting,,,0.559475,0.112077,0.086703,0.0958,0.0958,0.315968,3.0,,200.0,0.05
HistGradientBoosting,,balanced,0.562947,0.115312,0.226093,0.0958,0.0958,0.642346,3.0,,200.0,0.05
HistGradientBoosting,,,0.548238,0.109071,0.087531,0.0958,0.0958,0.32117,3.0,,200.0,0.1
HistGradientBoosting,,balanced,0.552914,0.112691,0.21644,0.0958,0.0958,0.620353,3.0,,200.0,0.1
HistGradientBoosting,,,0.54409,0.108614,0.088307,0.0958,0.0958,0.327472,,,200.0,0.05
HistGradientBoosting,,balanced,0.541764,0.107468,0.17511,0.0958,0.0958,0.527862,,,200.0,0.05
HistGradientBoosting,,,0.540153,0.105342,0.090322,0.0958,0.0958,0.348681,,,200.0,0.1
HistGradientBoosting,,balanced,0.530322,0.104472,0.148231,0.0958,0.0958,0.469605,,,200.0,0.1
