family,C,class_weight,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss,max_depth,min_samples_leaf,max_iter,learning_rate
LogisticRegression,0.01,,0.699301,0.32877,0.09267,0.1174,0.1174,0.324678,,,,
LogisticRegression,0.01,balanced,0.696643,0.325252,0.207086,0.1174,0.1174,0.610184,,,,
LogisticRegression,0.1,,0.697232,0.327485,0.092758,0.1174,0.1174,0.325136,,,,
LogisticRegression,0.1,balanced,0.694229,0.323348,0.207314,0.1174,0.1174,0.611384,,,,
LogisticRegression,1.0,,0.696404,0.326949,0.09284,0.1174,0.1174,0.325428,,,,
LogisticRegression,1.0,balanced,0.693635,0.322454,0.207498,0.1174,0.1174,0.611995,,,,
LogisticRegression,10.0,,0.696238,0.326752,0.092852,0.1174,0.1174,0.325482,,,,
LogisticRegression,10.0,balanced,0.693563,0.322219,0.207525,0.1174,0.1174,0.612074,,,,
RandomForest,,,0.690579,0.315647,0.093711,0.1174,0.1174,0.327864,8.0,5.0,,
RandomForest,,balanced,0.684795,0.312708,0.183229,0.1174,0.1174,0.557234,8.0,5.0,,
RandomForest,,,0.691334,0.316955,0.093734,0.1174,0.1174,0.327898,8.0,20.0,,
RandomForest,,balanced,0.687113,0.316278,0.191976,0.1174,0.1174,0.576386,8.0,20.0,,
RandomForest,,,0.683293,0.3102,0.094109,0.1174,0.1174,0.329579,16.0,5.0,,
RandomForest,,balanced,0.663304,0.29957,0.1426,0.1174,0.1174,0.463708,16.0,5.0,,
RandomForest,,,0.687512,0.316132,0.093749,0.1174,0.1174,0.328178,16.0,20.0,,
RandomForest,,balanced,0.682845,0.31518,0.173408,0.1174,0.1174,0.534039,16.0,20.0,,
HistGradientBoosting,,,0.694297,0.318282,0.093354,0.1174,0.1174,0.326531,3.0,,100.0,0.05
HistGradientBoosting,,balanced,0.691499,0.320253,0.203174,0.1174,0.1174,0.600441,3.0,,100.0,0.05
HistGradientBoosting,,,0.68501,0.312967,0.093927,0.1174,0.1174,0.329058,3.0,,100.0,0.1
HistGradientBoosting,,balanced,0.683003,0.313739,0.198609,0.1174,0.1174,0.590516,3.0,,100.0,0.1
HistGradientBoosting,,,0.678004,0.304132,0.094765,0.1174,0.1174,0.331972,,,100.0,0.05
HistGradientBoosting,,balanced,0.667109,0.305228,0.179169,0.1174,0.1174,0.544981,,,100.0,0.05
HistGradientBoosting,,,0.661694,0.292592,0.09641,0.1174,0.1174,0.34086,,,100.0,0.1
HistGradientBoosting,,balanced,0.646507,0.289997,0.166294,0.1174,0.1174,0.514695,,,100.0,0.1
HistGradientBoosting,,,0.689141,0.314,0.093782,0.1174,0.1174,0.328218,3.0,,200.0,0.05
HistGradientBoosting,,balanced,0.683882,0.313837,0.198693,0.1174,0.1174,0.590565,3.0,,200.0,0.05
HistGradientBoosting,,,0.678557,0.307504,0.094663,0.1174,0.1174,0.332268,3.0,,200.0,0.1
HistGradientBoosting,,balanced,0.673245,0.305017,0.192716,0.1174,0.1174,0.576581,3.0,,200.0,0.1
HistGradientBoosting,,,0.667734,0.294843,0.096146,0.1174,0.1174,0.339322,,,200.0,0.05
HistGradientBoosting,,balanced,0.653241,0.291338,0.165013,0.1174,0.1174,0.51144,,,200.0,0.05
HistGradientBoosting,,,0.64865,0.280243,0.098957,0.1174,0.1174,0.358518,,,200.0,0.1
HistGradientBoosting,,balanced,0.636251,0.278009,0.14698,0.1174,0.1174,0.472116,,,200.0,0.1
